Designator,Mid X,Mid Y,Rotation,Layer
Q3_3,22.9005,-54.09,0.0,top
Q3_2,93.9005,-54.09,0.0,top
Q3,164.9005,-54.09,0.0,top
Q4_3,21.81,-57.3705,270.0,top
Q4_2,92.81,-57.3705,270.0,top
Q4,163.81,-57.3705,270.0,top
Q5_3,170.7755,-54.095,0.0,top
Q5_2,99.7755,-54.095,0.0,top
Q5,28.7755,-54.095,0.0,top
Q6_3,98.69,-57.3705,270.0,top
Q6_2,169.69,-57.3705,270.0,top
Q6,27.69,-57.3705,270.0,top
Q7_3,37.45,-54.1,0.0,top
Q7_2,108.45,-54.1,0.0,top
Q7,179.45,-54.1,0.0,top
Q8_3,178.36,-57.338,270.0,top
Q8_2,36.36,-57.338,270.0,top
Q8,107.36,-57.338,270.0,top
Q9_3,185.3505,-54.095,0.0,top
Q9_2,114.3505,-54.095,0.0,top
Q9,43.3505,-54.095,0.0,top
R1_3,13.6,-50.5,0.0,top
R1_2,155.6,-50.5,0.0,top
R1,84.6,-50.5,0.0,top
R10_3,25.43,-57.82,90.0,top
R10_2,167.43,-57.82,90.0,top
R10,96.43,-57.82,90.0,top
R11_3,172.18,-57.12,90.0,top
R11_2,30.18,-57.12,90.0,top
R11,101.18,-57.12,90.0,top
R12_3,161.55,-57.82,90.0,top
R12_2,90.55,-57.82,90.0,top
R12,19.55,-57.82,90.0,top
R13_3,166.26,-57.12,90.0,top
R13_2,95.26,-57.12,90.0,top
R13,24.26,-57.12,90.0,top
R14_3,83.75,-56.435,90.0,top
R14_2,154.75,-56.435,90.0,top
R14,12.75,-56.435,90.0,top
R15_3,160.264773,-57.069826,90.0,top
R15_2,18.264773,-57.069826,90.0,top
R15,89.264773,-57.069826,90.0,top
R16_3,202.568113,-40.293659,270.0,top
R16_2,60.568113,-40.293659,270.0,top
R16,131.568113,-40.293659,270.0,top
R17_3,131.5615,-42.25,90.0,top
R17_2,202.5615,-42.25,90.0,top
R17,60.5615,-42.25,90.0,top
R18_3,198.7,-45.8,90.0,top
R18_2,56.7,-45.8,90.0,top
R18,127.7,-45.8,90.0,top
R19_3,134.785,-44.95,0.0,top
R19_2,205.785,-44.95,0.0,top
R19,63.785,-44.95,0.0,top
R2_3,153.25,-56.9,0.0,top
R2_2,82.25,-56.9,0.0,top
R2,11.25,-56.9,0.0,top
R20_3,116.88,-57.7925,90.0,top
R20_2,45.88,-57.7925,90.0,top
R20,187.88,-57.7925,90.0,top
R21_3,121.63,-57.092499,90.0,top
R21_2,50.63,-57.092499,90.0,top
R21,192.63,-57.092499,90.0,top
R22_3,182.000001,-57.7925,90.0,top
R22_2,40.000001,-57.7925,90.0,top
R22,111.000001,-57.7925,90.0,top
R23_3,115.75,-57.0925,90.0,top
R23_2,44.75,-57.0925,90.0,top
R23,186.75,-57.0925,90.0,top
R24_3,134.785,-45.95,180.0,top
R24_2,63.785,-45.95,180.0,top
R24,205.785,-45.95,180.0,top
R25_3,134.385,-47.45,270.0,top
R25_2,205.385,-47.45,270.0,top
R25,63.385,-47.45,270.0,top
R26_3,175.35,-56.4075,90.0,top
R26_2,104.35,-56.4075,90.0,top
R26,33.35,-56.4075,90.0,top
R27_3,38.714774,-57.042326,90.0,top
R27_2,180.714774,-57.042326,90.0,top
R27,109.714774,-57.042326,90.0,top
R3_3,80.3,-56.95,0.0,top
R3_2,151.3,-56.95,0.0,top
R3,9.3,-56.95,0.0,top
